time,dipole_exact,dipole_trotter1,dipole_trotter2,dipole_magnus,fidelity_exact,fidelity_trotter1,fidelity_trotter2,fidelity_magnus,distance_exact,distance_trotter1,distance_trotter2,distance_magnus
0.0,1.3885799321801882,1.3885799321801882,1.3885799321801882,1.3885799321801882,1.0,0.9999999999999731,0.9999999999999731,0.9999999999999731,0.0,0.0,0.0,0.0
2.6315789473684212,1.380078479875755,1.3796742639928323,1.3800348233148854,1.3800633880045805,1.0,0.9997756764529114,0.9999438503846124,0.9999998537885628,0.0,0.014973021785713981,0.007483607373510567,1.0559941467970703e-05
5.2631578947368425,1.3999023758995786,1.4001185822356608,1.4000014010542456,1.39990483702849,1.0,0.9997328928716023,0.9999330351170641,0.9999997033243861,0.0,0.016337316503576838,0.008165433070782479,1.0502150494709341e-05
7.894736842105264,1.3791020835904633,1.3792705293710879,1.3790488431794743,1.379113712810875,1.0,0.9999913854807448,0.9999975151619656,0.9999995460768665,0.0,0.002880112844406983,0.001428102375102822,1.0513056108664299e-05
10.526315789473685,1.394357102102621,1.393737762879624,1.3942888147605572,1.3943362894341,1.0,0.9998277141126721,0.9999565336434992,0.9999994007798928,0.0,0.0131083420608686,0.006547981544332017,1.051296302572568e-05
13.157894736842106,1.3896544019973156,1.3904371408383693,1.38977514890153,1.3896792017681996,1.0,0.9997052489321411,0.9999257716918818,0.9999992391111094,0.0,0.017157099641764217,0.008572675777531335,1.051576029985059e-05
15.789473684210527,1.3823086746888613,1.3817715921207157,1.3822516905283695,1.3822898374628232,1.0,0.9999678541334982,0.9999912813506325,0.9999990968723159,0.0,0.005635988497759008,0.002801482687268,1.051932514278024e-05
18.42105263157895,1.3993353009799336,1.3994951098996093,1.3993364502584014,1.3993443944684552,1.0,0.9998773521274865,0.9999686062308326,0.9999989334989065,0.0,0.011048974404308425,0.005509854757443464,1.0522716833751993e-05
21.05263157894737,1.378151454828039,1.3782557164503997,1.378126471188236,1.3781577633700042,1.0,0.9996886420004131,0.9999212915244907,0.9999987914472129,0.0,0.01763500320781512,0.008806383019567363,1.0527404147474563e-05
23.68421052631579,1.3966420147459133,1.3963190843842388,1.3966875357068607,1.3966254447834179,1.0,0.999931656905874,0.9999818618608117,0.9999986301178225,0.0,0.008253779083705712,0.004103703048100227,1.0532177868966245e-05
26.315789473684212,1.3868315763033807,1.387434465803774,1.3868660858478439,1.3868565229846939,1.0,0.9999231154761337,0.999979717424211,0.9999984847042465,0.0,0.008744595458613466,0.004340060373241661,1.053782458350329e-05
28.947368421052634,1.3847860892903585,1.3840377769842653,1.3846583032815591,1.3847647204210234,1.0,0.9996870367950287,0.9999205615758457,0.999998328154617,0.0,0.017685891638632163,0.00882382455609792,1.0543859708892338e-05
31.578947368421055,1.3980308596175464,1.3985425461486058,1.398141666473229,1.398046003220002,1.0,0.9998864446043034,0.9999701977199071,0.9999981771448443,0.0,0.010665011689798044,0.005301423338078625,1.0550656429997518e-05
34.21052631578948,1.3778768244897455,1.3778822315377444,1.3778755185680112,1.3778774581791073,1.0,0.999960574227269,0.9999887343735002,0.9999980263922857,0.0,0.006277540550757039,0.0030683113972913094,1.0557781014540227e-05
36.8421052631579,1.3984114673923795,1.3980037264132974,1.3983643248334157,1.398400299343608,1.0,0.9997009342063893,0.9999237203624225,0.9999978694738362,0.0,0.017299798139302058,0.008619476003532932,1.0565835283641444e-05
39.473684210526315,1.3841460832980281,1.3846882476762643,1.38416259730675,1.3841696073597591,1.0,0.9998367403907996,0.9999574148963111,0.999997723896296,0.0,0.01280870291006282,0.006364065232774488,1.0574024060177139e-05
42.10526315789474,1.387527772616256,1.3869702483420754,1.3875185811945552,1.3875053328557498,1.0,0.9999859606712512,0.9999947155433514,0.9999975624483771,0.0,0.0038311502559999194,0.0017434468399683393,1.0583296991599665e-05
44.736842105263165,1.396122905725051,1.3966854233582264,1.3962085380845557,1.3961431998964549,1.0,0.9997290036051888,0.9999304347034298,0.9999974200861972,0.0,0.01648687415028482,0.008197404965900155,1.0592644240225852e-05
47.36842105263158,1.3783306695333482,1.3779640930055643,1.3782117707264505,1.3783256912606723,1.0,0.9997875252464224,0.9999447540096071,0.9999972567141464,0.0,0.014631295268921169,0.007264556805486928,1.0603058102672889e-05
50.0,1.3995624757083036,1.3994533593668403,1.3995993655792527,1.3995575277622478,1.0,0.9999966943545466,0.999997025649808,0.9999971062162013,0.0,0.002207510695862476,0.0005999805725885816,1.0613632556994872e-05
