time,dipole_exact,dipole_trotter1,dipole_trotter2,dipole_magnus
0.0,1.3885799321801882,1.3885799321801882,1.3885799321801882,1.3885799321801882
2.6315789473684212,1.380078479875755,1.3796742639928323,1.3800348233148854,1.3800633880045805
5.2631578947368425,1.3999023758995786,1.4001185822356608,1.4000014010542456,1.39990483702849
7.894736842105264,1.3791020835904633,1.3792705293710879,1.3790488431794743,1.379113712810875
10.526315789473685,1.394357102102621,1.393737762879624,1.3942888147605572,1.3943362894341
13.157894736842106,1.3896544019973156,1.3904371408383693,1.38977514890153,1.3896792017681996
15.789473684210527,1.3823086746888613,1.3817715921207157,1.3822516905283695,1.3822898374628232
18.42105263157895,1.3993353009799336,1.3994951098996093,1.3993364502584014,1.3993443944684552
21.05263157894737,1.378151454828039,1.3782557164503997,1.378126471188236,1.3781577633700042
23.68421052631579,1.3966420147459133,1.3963190843842388,1.3966875357068607,1.3966254447834179
26.315789473684212,1.3868315763033807,1.387434465803774,1.3868660858478439,1.3868565229846939
28.947368421052634,1.3847860892903585,1.3840377769842653,1.3846583032815591,1.3847647204210234
31.578947368421055,1.3980308596175464,1.3985425461486058,1.398141666473229,1.398046003220002
34.21052631578948,1.3778768244897455,1.3778822315377444,1.3778755185680112,1.3778774581791073
36.8421052631579,1.3984114673923795,1.3980037264132974,1.3983643248334157,1.398400299343608
39.473684210526315,1.3841460832980281,1.3846882476762643,1.38416259730675,1.3841696073597591
42.10526315789474,1.387527772616256,1.3869702483420754,1.3875185811945552,1.3875053328557498
44.736842105263165,1.396122905725051,1.3966854233582264,1.3962085380845557,1.3961431998964549
47.36842105263158,1.3783306695333482,1.3779640930055643,1.3782117707264505,1.3783256912606723
50.0,1.3995624757083036,1.3994533593668403,1.3995993655792527,1.3995575277622478
